Red Agrometeorológica de INIA,,agromet.inia.cl,,,
Estación,Azapa Medio,,,,
Habilitada el,21-03-2011,,,,
Generado,06-08-2018 11:37:25,,,,
,,,,,
#,FECHA/HORA,Temperatura del Aire (°C),Humedad Relativa (%),Velocidad del Viento (Km/h),Radiación Solar (W/m2)
1700,12-03-2017 19:00,"23,4","61,7","6,1","5,6"
1701,12-03-2017 20:00,"22,2","65,8","4,3",0
1702,12-03-2017 21:00,"21,7","68,3","1,8",0
1703,12-03-2017 22:00,21,"71,4","0,4",0
1704,12-03-2017 23:00,"20,8","71,6","3,6",0
1705,13-03-2017 00:00,21,"70,1",4,0
1706,13-03-2017 01:00,21,"69,8","0,4",0
1707,13-03-2017 02:00,"20,9","70,1",0,0
1708,13-03-2017 03:00,"20,5","71,8",0,0
1709,13-03-2017 04:00,"18,8","77,5",0,0
1710,13-03-2017 05:00,"17,9","80,1",0,0
1711,13-03-2017 06:00,"17,6","81,8",0,"0,2"
1712,13-03-2017 07:00,"18,3","80,3",0,"42,1"
1713,13-03-2017 08:00,"20,8","70,8","0,4","136,5"
1714,13-03-2017 09:00,"23,9","60,8","2,9","425,8"
1715,13-03-2017 10:00,"25,8","55,3","4,3",608
1716,13-03-2017 11:00,"27,6","48,4",5,"753,1"
1717,13-03-2017 12:00,"28,9","45,9","6,1","838,5"
1718,13-03-2017 13:00,"29,1","45,7","8,3","849,5"
1719,13-03-2017 14:00,"28,3","47,6","9,4","803,3"
1720,13-03-2017 15:00,"27,7","50,4","8,3","620,7"
1721,13-03-2017 16:00,"26,8",53,"7,9",458
1722,13-03-2017 17:00,"24,7","57,9","7,6","205,2"
1723,13-03-2017 18:00,"23,1",62,"5,4",68
1724,13-03-2017 19:00,"21,6","64,9","1,8","3,4"
1725,13-03-2017 20:00,"20,8","68,9","0,7",0
1726,13-03-2017 21:00,"20,2",71,0,0
1727,13-03-2017 22:00,"19,5","73,8",0,0
1728,13-03-2017 23:00,"19,2","75,8",0,0
1729,14-03-2017 00:00,19,"75,6",0,0
1730,14-03-2017 01:00,"18,8","76,4",0,0
1731,14-03-2017 02:00,"18,3","77,5",0,0
1732,14-03-2017 03:00,"17,6","79,9",0,0
1733,14-03-2017 04:00,"17,3","81,4",0,0
1734,14-03-2017 05:00,"17,4","81,2",0,0
1735,14-03-2017 06:00,"16,9","82,2",0,"0,3"
1736,14-03-2017 07:00,"17,8","79,8",0,"50,6"
1737,14-03-2017 08:00,22,"63,7","1,4","232,1"
1738,14-03-2017 09:00,"24,8","55,8",4,"439,2"
1739,14-03-2017 10:00,"26,5","51,3",4,"601,4"
1740,14-03-2017 11:00,"28,1","46,4","6,1","744,2"
1741,14-03-2017 12:00,"28,7","45,3","8,3","829,7"
1742,14-03-2017 13:00,"29,4","43,5","8,3",840
1743,14-03-2017 14:00,"29,7","43,2","7,6","790,4"
1744,14-03-2017 15:00,"28,5","46,1","8,3","543,4"
1745,14-03-2017 16:00,"26,8","50,6","8,3","346,7"
1746,14-03-2017 17:00,"25,9","53,4","8,6","290,9"
1747,14-03-2017 18:00,"23,6","59,5","6,5","62,3"
1748,14-03-2017 19:00,"22,3","61,8","4,3","1,5"
1749,14-03-2017 20:00,"21,8","62,8","2,2",0
1750,14-03-2017 21:00,"21,4","63,8","3,6",0
1751,14-03-2017 22:00,"21,1","64,8","1,8",0
1752,14-03-2017 23:00,"20,9","64,8","0,7",0
1753,15-03-2017 00:00,"20,8","65,9",0,0
1754,15-03-2017 01:00,"20,4","68,4","0,4",0
1755,15-03-2017 02:00,"19,8","72,5",0,0
1756,15-03-2017 03:00,"19,7","73,1",0,0
1757,15-03-2017 04:00,"19,7","73,2",0,0
1758,15-03-2017 05:00,"19,6","74,1",0,0
1759,15-03-2017 06:00,"19,7","73,1",0,"0,1"
1760,15-03-2017 07:00,"20,2","71,1",0,"6,3"
1761,15-03-2017 08:00,"20,9",70,0,"28,2"
1762,15-03-2017 09:00,"22,3","63,3","2,5","105,5"
1763,15-03-2017 10:00,"23,8","58,8","1,4","126,4"
1764,15-03-2017 11:00,"25,8","51,5","3,2","395,9"
1765,15-03-2017 12:00,"27,8","45,4",5,501
1766,15-03-2017 13:00,"29,8",40,"6,5",706
1767,15-03-2017 14:00,29,"42,4","6,5","441,4"
1768,15-03-2017 15:00,"29,7","39,6","7,6","639,2"
1769,15-03-2017 16:00,"28,8","42,6","9,7","363,5"
1770,15-03-2017 17:00,"27,2","45,6","8,6","153,1"
1771,15-03-2017 18:00,"25,3","50,3","6,1","25,3"
1772,15-03-2017 19:00,"24,1","53,1","1,8","0,6"
1773,15-03-2017 20:00,"23,9","53,2","1,1",0
1774,15-03-2017 21:00,"23,5","55,8","1,4",0
1775,15-03-2017 22:00,22,"63,3","0,7",0
1776,15-03-2017 23:00,"20,2","72,5","1,1",0
1777,16-03-2017 00:00,"18,9","76,5",0,0
1778,16-03-2017 01:00,"19,3",76,0,0
1779,16-03-2017 02:00,"19,4","75,5","0,4",0
1780,16-03-2017 03:00,"19,8","72,9","0,4",0
1781,16-03-2017 04:00,"20,2","71,8",0,0
1782,16-03-2017 05:00,"20,2",72,0,0
1783,16-03-2017 06:00,"19,6","74,7","0,4","0,1"
1784,16-03-2017 07:00,"19,4","76,1",0,31
1785,16-03-2017 08:00,21,"68,7","0,4","134,5"
1786,16-03-2017 09:00,"23,8","56,3","1,8","389,5"
1787,16-03-2017 10:00,"26,9","47,4",5,"569,2"
1788,16-03-2017 11:00,"28,6","41,7","5,8","759,7"
1789,16-03-2017 12:00,30,"38,4","6,8",845
1790,16-03-2017 13:00,"30,6","35,9","8,3","855,7"
1791,16-03-2017 14:00,"30,9","34,8","8,6",802
1792,16-03-2017 15:00,"30,8","35,9","8,3","671,3"
1793,16-03-2017 16:00,"29,7","38,9","8,3",404
1794,16-03-2017 17:00,"28,1","42,1","5,8","211,9"
1795,16-03-2017 18:00,27,"44,9",5,"92,6"
1796,16-03-2017 19:00,"24,7","51,4","3,2","1,7"
1797,16-03-2017 20:00,"23,2","55,9","0,7",0
1798,16-03-2017 21:00,"21,8","62,4",0,0
1799,16-03-2017 22:00,"20,2","69,3",0,0
1800,16-03-2017 23:00,"20,1","69,5",0,0
1801,17-03-2017 00:00,"20,9","66,9",0,0
1802,17-03-2017 01:00,"20,3","70,2",0,0
1803,17-03-2017 02:00,"18,8","74,8",0,0
1804,17-03-2017 03:00,"17,6","79,2",0,0
1805,17-03-2017 04:00,"16,9","82,4",0,0
1806,17-03-2017 05:00,"16,9","82,8",0,0
1807,17-03-2017 06:00,"16,4","83,1",0,"0,5"
1808,17-03-2017 07:00,"17,1","82,5",0,"67,3"
1809,17-03-2017 08:00,"21,5","66,6","0,7","245,8"
1810,17-03-2017 09:00,"24,7","52,8","2,5","433,1"
1811,17-03-2017 10:00,"26,9","45,9","4,7","612,4"
1812,17-03-2017 11:00,"28,8","40,2","5,8","763,7"
1813,17-03-2017 12:00,"29,3","39,2","7,6","779,4"
1814,17-03-2017 13:00,"29,9","37,2","8,6","850,2"
1815,17-03-2017 14:00,"30,6","35,3","9,7","799,4"
1816,17-03-2017 15:00,"30,3","36,3","11,9","687,7"
1817,17-03-2017 16:00,"29,5","38,4","10,8","505,6"
1818,17-03-2017 17:00,"28,2","42,7","8,6","276,3"
1819,17-03-2017 18:00,"25,6","50,9","6,1","104,7"
1820,17-03-2017 19:00,"22,2","61,7","1,8",3
1821,17-03-2017 20:00,"20,3","68,9",0,0
1822,17-03-2017 21:00,19,"74,3",0,0
1823,17-03-2017 22:00,"18,2","79,4",0,0
1824,17-03-2017 23:00,"17,3","81,5",0,0
1825,18-03-2017 00:00,"16,9","83,6",0,0
1826,18-03-2017 01:00,"16,8","84,9",0,0
1827,18-03-2017 02:00,"16,5",85,0,0
1828,18-03-2017 03:00,"16,3","85,1",0,0
1829,18-03-2017 04:00,"16,1","84,5","0,4",0
1830,18-03-2017 05:00,16,"83,6",0,0
1831,18-03-2017 06:00,"15,8","83,5","0,4","0,4"
1832,18-03-2017 07:00,"16,8","80,4","1,4","61,4"
1833,18-03-2017 08:00,"21,7","61,2","2,9","243,9"
1834,18-03-2017 09:00,"24,7","51,7","2,5","455,2"
1835,18-03-2017 10:00,"26,4","47,1","6,8","605,1"
1836,18-03-2017 11:00,28,"43,3","6,1","723,1"
1837,18-03-2017 12:00,"29,2","40,2","6,5","835,1"
1838,18-03-2017 13:00,"29,4","40,5","8,6","862,5"
1839,18-03-2017 14:00,"28,6","41,7","9,4","800,5"
1840,18-03-2017 15:00,"28,2","41,7","9,4","636,3"
1841,18-03-2017 16:00,"28,4","41,1","8,6","514,3"
1842,18-03-2017 17:00,"27,8","43,4","7,9","307,2"
1843,18-03-2017 18:00,"26,2","47,8","5,8","81,6"
1844,18-03-2017 19:00,"23,5",57,"3,6",1
1845,18-03-2017 20:00,"22,2","62,1","3,6",0
1846,18-03-2017 21:00,21,"68,3","6,1",0
1847,18-03-2017 22:00,"19,7","74,5","3,2",0
1848,18-03-2017 23:00,19,"78,3","2,2",0
1849,19-03-2017 00:00,"18,2","80,4",0,0
1850,19-03-2017 01:00,"17,1","82,9",0,0
1851,19-03-2017 02:00,"16,5","84,4",0,0
1852,19-03-2017 03:00,"16,3","85,5",0,0
1853,19-03-2017 04:00,"17,1","84,9",0,0
1854,19-03-2017 05:00,"18,6","78,6",0,0
1855,19-03-2017 06:00,"19,4",74,"1,8","0,1"
1856,19-03-2017 07:00,20,"71,2","0,4","11,1"
1857,19-03-2017 08:00,"21,2","65,5","1,8","85,3"
1858,19-03-2017 09:00,"22,9","60,7","2,5","196,9"
1859,19-03-2017 10:00,"24,5","55,3",4,375
1860,19-03-2017 11:00,"26,3","49,8",4,"465,6"
1861,19-03-2017 12:00,"27,9","44,1","6,1","858,7"
1862,19-03-2017 13:00,29,"41,5","5,8",855
1863,19-03-2017 14:00,"29,8","39,2","6,5",792
1864,19-03-2017 15:00,"29,7","38,3","7,2","670,8"
1865,19-03-2017 16:00,29,40,"7,6","500,1"
1866,19-03-2017 17:00,"28,3","41,5","6,1","293,1"
1867,19-03-2017 18:00,"26,5",47,"4,7","98,9"
1868,19-03-2017 19:00,"23,7","54,8","2,9","1,9"
1869,19-03-2017 20:00,"22,8",58,"0,7",0
1870,19-03-2017 21:00,"21,9","61,2","0,4",0
1871,19-03-2017 22:00,"21,5","62,5","0,4",0
1872,19-03-2017 23:00,"19,6","71,8",0,0
1873,20-03-2017 00:00,"18,5","76,6","0,4",0
1874,20-03-2017 01:00,"18,6","77,5","0,7",0
1875,20-03-2017 02:00,"17,7","80,3",0,0
1876,20-03-2017 03:00,"17,2","81,6",0,0
1877,20-03-2017 04:00,"16,4","83,4",0,0
1878,20-03-2017 05:00,"17,5","82,7",0,0
1879,20-03-2017 06:00,"18,5","78,5",0,"0,2"
1880,20-03-2017 07:00,"19,2","75,2",0,"20,5"
1881,20-03-2017 08:00,"20,6","68,5","0,4","111,5"
1882,20-03-2017 09:00,"22,6","61,1","2,9","290,6"
1883,20-03-2017 10:00,"24,5","54,6","5,4","549,5"
1884,20-03-2017 11:00,"26,3","48,7","5,4","753,6"
1885,20-03-2017 12:00,"27,4","46,1","7,6","846,2"
1886,20-03-2017 13:00,"27,7","44,5","7,9",840
1887,20-03-2017 14:00,"27,9",44,"7,9","780,9"
1888,20-03-2017 15:00,"28,2","42,7","7,6","651,4"
1889,20-03-2017 16:00,"27,5","44,1","6,8","495,6"
1890,20-03-2017 17:00,"26,8","45,3","6,5","289,8"
1891,20-03-2017 18:00,"24,8","50,2","6,5","87,3"
1892,20-03-2017 19:00,"22,3","56,5","3,2","1,1"
1893,20-03-2017 20:00,"21,4","58,9","2,2",0
1894,20-03-2017 21:00,"20,9","60,7","0,4",0
1895,20-03-2017 22:00,"20,7","61,2","1,4",0
1896,20-03-2017 23:00,"19,4","69,2","1,1",0
1897,21-03-2017 00:00,"17,6","75,9",0,0
1898,21-03-2017 01:00,"16,2","79,3",0,0
1899,21-03-2017 02:00,"15,7","81,1",0,0
1900,21-03-2017 03:00,"15,1","82,6",0,0
1901,21-03-2017 04:00,"14,7","84,2",0,0
1902,21-03-2017 05:00,"14,9","85,5",0,0
1903,21-03-2017 06:00,"14,9","85,5",0,"0,2"
1904,21-03-2017 07:00,"15,1","85,8",0,"50,5"
1905,21-03-2017 08:00,20,"65,3","0,4","269,4"
1906,21-03-2017 09:00,"24,1","50,8","2,5","527,1"
1907,21-03-2017 10:00,"25,6","46,8","4,7","601,8"
1908,21-03-2017 11:00,27,"43,2","5,8","746,2"
1909,21-03-2017 12:00,"28,3","39,5","6,1","827,2"
1910,21-03-2017 13:00,"29,4","37,1","7,6","837,2"
1911,21-03-2017 14:00,29,"36,9","7,9","778,2"
1912,21-03-2017 15:00,"29,3",37,"7,2","656,5"
1913,21-03-2017 16:00,"28,7","38,5","8,6",482
1914,21-03-2017 17:00,"27,2",42,"8,3","273,2"
1915,21-03-2017 18:00,"24,4","49,9","5,8","77,3"
1916,21-03-2017 19:00,"21,6","57,7","0,7","0,9"
1917,21-03-2017 20:00,"19,9","63,3",0,0
1918,21-03-2017 21:00,"18,7","68,3",0,0
1919,21-03-2017 22:00,"17,6","73,1",0,0
1920,21-03-2017 23:00,"16,7",76,0,0
1921,22-03-2017 00:00,"16,2","78,9",0,0
1922,22-03-2017 01:00,"15,9","79,7",0,0
1923,22-03-2017 02:00,16,"78,4","0,4",0
1924,22-03-2017 03:00,"15,7","78,4",0,0
1925,22-03-2017 04:00,"16,2","76,3",0,0
1926,22-03-2017 05:00,"16,7",75,0,0
1927,22-03-2017 06:00,"15,9","77,7",0,"0,1"
1928,22-03-2017 07:00,"15,8","79,4",0,"43,9"
1929,22-03-2017 08:00,"19,9","63,6","1,1","220,9"
1930,22-03-2017 09:00,"22,9",54,"3,6","430,5"
1931,22-03-2017 10:00,"25,2","47,1","4,7","588,1"
1932,22-03-2017 11:00,"27,2","41,1",5,738
1933,22-03-2017 12:00,"28,4","39,4","7,2","820,2"
1934,22-03-2017 13:00,"28,8","37,2","6,5",831
1935,22-03-2017 14:00,"28,9","36,9","7,6","774,1"
1936,22-03-2017 15:00,"28,4","37,4","8,6","653,3"
1937,22-03-2017 16:00,"27,8","38,7","7,9","476,8"
1938,22-03-2017 17:00,26,"42,4","10,1","274,8"
1939,22-03-2017 18:00,"23,5","47,5","6,5","82,7"
1940,22-03-2017 19:00,"21,4",52,"2,2","1,1"
1941,22-03-2017 20:00,"19,6","59,5",0,0
1942,22-03-2017 21:00,18,65,0,0
1943,22-03-2017 22:00,"17,6","76,3","0,4",0
1944,22-03-2017 23:00,"16,5","79,6",0,0
1945,23-03-2017 00:00,"15,5","82,6",0,0
1946,23-03-2017 01:00,"14,8","83,4",0,0
1947,23-03-2017 02:00,"14,8","85,9",0,0
1948,23-03-2017 03:00,15,"85,6",0,0
1949,23-03-2017 04:00,"14,5","85,8",0,0
1950,23-03-2017 05:00,"14,6","85,6",0,0
1951,23-03-2017 06:00,"14,8","83,1",0,"0,4"
1952,23-03-2017 07:00,16,"79,2",0,"75,7"
1953,23-03-2017 08:00,"20,7","56,4","1,1","231,2"
1954,23-03-2017 09:00,"23,5","47,4","2,2",407
1955,23-03-2017 10:00,"25,7","44,7","5,4","548,8"
1956,23-03-2017 11:00,"24,8","49,5","6,1","534,7"
1957,23-03-2017 12:00,"26,4","43,4","7,2","652,4"
1958,23-03-2017 13:00,"27,2","39,8","6,8","680,8"
1959,23-03-2017 14:00,"27,5","37,8","7,9","756,1"
1960,23-03-2017 15:00,"28,4","35,7","7,2","717,4"
1961,23-03-2017 16:00,"27,8","37,2","7,9",440
1962,23-03-2017 17:00,"26,1","41,1","7,6","167,2"
1963,23-03-2017 18:00,"24,6","43,9","7,2","90,6"
1964,23-03-2017 19:00,22,"52,7","2,5","0,8"
1965,23-03-2017 20:00,"20,1",63,"1,4",0
1966,23-03-2017 21:00,"18,4","69,4",0,0
1967,23-03-2017 22:00,"17,2","73,5",0,0
1968,23-03-2017 23:00,"17,1","72,4",0,0
1969,24-03-2017 00:00,"17,1","70,8",0,0
1970,24-03-2017 01:00,"16,5","73,1",0,0
1971,24-03-2017 02:00,"15,3","76,7",0,0
1972,24-03-2017 03:00,"14,8","79,6",0,0
1973,24-03-2017 04:00,"15,3","77,9",0,0
1974,24-03-2017 05:00,"15,4","76,6",0,0
1975,24-03-2017 06:00,"14,8",79,0,"0,1"
1976,24-03-2017 07:00,"16,1","73,5","0,4","55,3"
1977,24-03-2017 08:00,"21,6","51,1","1,4","247,5"
1978,24-03-2017 09:00,25,"42,4","2,2",440
1979,24-03-2017 10:00,"26,4","40,7","4,7","588,8"
1980,24-03-2017 11:00,"27,5",39,5,"735,9"
1981,24-03-2017 12:00,"28,8","35,9","6,8","816,3"
1982,24-03-2017 13:00,"29,1","34,1","7,2",823
1983,24-03-2017 14:00,"28,6","35,5","7,9","764,6"
1984,24-03-2017 15:00,"27,7","37,6","10,1","643,9"
1985,24-03-2017 16:00,"27,1","38,8","10,8","477,3"
1986,24-03-2017 17:00,"27,3","38,5","7,9","316,2"
1987,24-03-2017 18:00,"25,3","43,8","5,4","107,8"
1988,24-03-2017 19:00,"21,9","51,4","2,9","1,7"
1989,24-03-2017 20:00,"20,2","57,6","1,1",0
1990,24-03-2017 21:00,"18,7","63,6","0,7",0
1991,24-03-2017 22:00,"17,8","70,8",0,0
1992,24-03-2017 23:00,"16,4","76,2",0,0
1993,25-03-2017 00:00,"15,6",80,0,0
1994,25-03-2017 01:00,"15,5","82,3",0,0
1995,25-03-2017 02:00,"15,2",82,0,0
1996,25-03-2017 03:00,"14,4",83,0,0
1997,25-03-2017 04:00,"14,1","84,4",0,0
1998,25-03-2017 05:00,"14,4","83,1",0,0
1999,25-03-2017 06:00,"14,4","81,6",0,"0,1"
2000,25-03-2017 07:00,"15,1","78,6","0,4","42,3"
2001,25-03-2017 08:00,"19,4",60,"1,1","174,7"
2002,25-03-2017 09:00,"23,3","47,6","0,7","386,8"
2003,25-03-2017 10:00,"25,8","41,4","2,5","581,8"
2004,25-03-2017 11:00,"27,3","37,9","5,8","729,3"
2005,25-03-2017 12:00,"28,1","36,6","6,8","812,2"
2006,25-03-2017 13:00,"28,5","35,2","7,6","810,9"
2007,25-03-2017 14:00,"28,7","34,4","7,9","755,4"
2008,25-03-2017 15:00,"28,2","37,1","8,6","633,7"
2009,25-03-2017 16:00,"27,7","38,4","8,3",467
2010,25-03-2017 17:00,"25,8","44,6","8,6","250,8"
2011,25-03-2017 18:00,"23,3","52,7","4,3","56,5"
2012,25-03-2017 19:00,"20,6","62,3","0,4","0,8"
2013,25-03-2017 20:00,"18,9","68,9",0,0
2014,25-03-2017 21:00,"17,6",74,0,0
2015,25-03-2017 22:00,"16,2","78,1",0,0
2016,25-03-2017 23:00,"15,8","79,1",0,0
2017,26-03-2017 00:00,"15,2","80,8",0,0
2018,26-03-2017 01:00,"14,9","83,4",0,0
2019,26-03-2017 02:00,15,"84,1",0,0
2020,26-03-2017 03:00,"14,9","84,2",0,0
2021,26-03-2017 04:00,"14,4","84,9",0,0
2022,26-03-2017 05:00,"14,6","85,8",0,0
2023,26-03-2017 06:00,"14,8",85,0,"0,5"
2024,26-03-2017 07:00,"15,3","83,2","0,4","45,4"
2025,26-03-2017 08:00,20,"63,2","1,4","233,4"
2026,26-03-2017 09:00,"24,1","51,1","1,1",438
2027,26-03-2017 10:00,"25,7",47,"3,6","594,1"
2028,26-03-2017 11:00,"26,8","44,7","6,1","694,6"
2029,26-03-2017 12:00,"27,5","42,7","7,6","819,5"
2030,26-03-2017 13:00,"27,7","41,9","8,3",828
2031,26-03-2017 14:00,"27,3","42,7","9,7",769
2032,26-03-2017 15:00,"27,6","41,2","7,9",646
2033,26-03-2017 16:00,"27,5","41,6","7,9","474,6"
2034,26-03-2017 17:00,"26,2","45,3","8,6","272,3"
2035,26-03-2017 18:00,"23,5",52,"7,2","74,1"
2036,26-03-2017 19:00,"21,2","58,9","3,6","0,5"
2037,26-03-2017 20:00,"19,8","63,9",0,0
2038,26-03-2017 21:00,"18,3","72,5","0,4",0
2039,26-03-2017 22:00,"16,8","78,2",0,0
2040,26-03-2017 23:00,"15,7","80,7",0,0
2041,27-03-2017 00:00,"15,1","83,1",0,0
2042,27-03-2017 01:00,"14,7","84,2",0,0
2043,27-03-2017 02:00,"14,1","84,8",0,0
2044,27-03-2017 03:00,"13,9","85,9",0,0
2045,27-03-2017 04:00,"13,9","85,9",0,0
2046,27-03-2017 05:00,"13,9","85,6",0,0
2047,27-03-2017 06:00,"13,9",85,0,"0,1"
2048,27-03-2017 07:00,"14,5",84,"0,4","40,5"
2049,27-03-2017 08:00,"17,8","73,6","0,4","121,7"
2050,27-03-2017 09:00,21,"63,2","0,4",261
2051,27-03-2017 10:00,"23,6","55,1","2,5","492,9"
2052,27-03-2017 11:00,"25,8","47,5","4,3","665,9"
2053,27-03-2017 12:00,"27,4","42,8","6,1","819,6"
2054,27-03-2017 13:00,"28,2","42,1","7,2","819,7"
2055,27-03-2017 14:00,"28,1","41,5","6,8","756,8"
2056,27-03-2017 15:00,28,"41,3","7,9","631,6"
2057,27-03-2017 16:00,"27,3","43,2","6,5",457
2058,27-03-2017 17:00,"26,5","45,8","7,6","273,8"
2059,27-03-2017 18:00,"23,8","54,8","7,6","88,6"
2060,27-03-2017 19:00,"21,7","61,8","4,3","1,4"
2061,27-03-2017 20:00,"20,7","65,7","2,5",0
2062,27-03-2017 21:00,"19,7","70,3","2,5",0
2063,27-03-2017 22:00,"18,5","74,5",0,0
2064,27-03-2017 23:00,"17,4",78,0,0
2065,28-03-2017 00:00,"16,5","80,2",0,0
2066,28-03-2017 01:00,16,"81,8",0,0
2067,28-03-2017 02:00,"15,7","83,3",0,0
2068,28-03-2017 03:00,"15,4","83,7",0,0
2069,28-03-2017 04:00,"15,2","84,8",0,0
2070,28-03-2017 05:00,"15,9","83,6",0,0
2071,28-03-2017 06:00,"16,2","82,1",0,"0,1"
2072,28-03-2017 07:00,"15,9","83,3",0,23
2073,28-03-2017 08:00,"18,1","77,2",0,"85,9"
2074,28-03-2017 09:00,"20,9","65,1","1,1","326,8"
2075,28-03-2017 10:00,"24,3","53,4",4,527
2076,28-03-2017 11:00,"26,7","46,4",5,"686,8"
2077,28-03-2017 12:00,"27,9",44,"7,2","810,9"
2078,28-03-2017 13:00,"28,4",42,"6,8","814,5"
2079,28-03-2017 14:00,"28,8","40,5","7,9","761,2"
2080,28-03-2017 15:00,"28,5","41,8","9,7","640,7"
2081,28-03-2017 16:00,"27,9","42,3","7,6","443,3"
2082,28-03-2017 17:00,"25,6","49,2","6,8","182,9"
2083,28-03-2017 18:00,"23,8","53,5","5,8","54,3"
2084,28-03-2017 19:00,"22,4","57,4","1,8","0,6"
2085,28-03-2017 20:00,"21,6","60,5",0,0
2086,28-03-2017 21:00,"20,2","66,1","0,4",0
2087,28-03-2017 22:00,"19,2","71,7",0,0
2088,28-03-2017 23:00,"18,7","73,1",0,0
2089,29-03-2017 00:00,"18,4","73,9",0,0
2090,29-03-2017 01:00,"17,9","75,9",0,0
2091,29-03-2017 02:00,"17,6","77,8",0,0
2092,29-03-2017 03:00,"16,9","79,2",0,0
2093,29-03-2017 04:00,"15,9","81,7",0,0
2094,29-03-2017 05:00,"15,8","81,4",0,0
2095,29-03-2017 06:00,"15,5","81,4",0,"0,1"
2096,29-03-2017 07:00,"16,2","79,1",0,"28,9"
2097,29-03-2017 08:00,"20,8","60,5","0,7","221,7"
2098,29-03-2017 09:00,"24,4","52,2","3,2","443,3"
2099,29-03-2017 10:00,"25,7","47,9",5,518
2100,29-03-2017 11:00,27,"44,2","6,1",700
2101,29-03-2017 12:00,"26,6","46,5","6,8",550
2102,29-03-2017 13:00,"27,2","42,7","5,8","720,8"
2103,29-03-2017 14:00,"28,8","38,4","7,2","818,5"
2104,29-03-2017 15:00,"27,6","41,9","7,6","489,7"
2105,29-03-2017 16:00,"26,1","45,1","7,6","275,3"
2106,29-03-2017 17:00,"24,4","49,1","9,4","174,7"
2107,29-03-2017 18:00,"22,3","54,8","7,9","34,8"
2108,29-03-2017 19:00,"20,7","59,4","4,3","0,7"
2109,29-03-2017 20:00,"20,3","60,3","4,3",0
2110,29-03-2017 21:00,"19,8","61,7","1,8",0
2111,29-03-2017 22:00,"19,2","64,6",0,0
2112,29-03-2017 23:00,"17,7","70,1",0,0
2113,30-03-2017 00:00,"16,4","77,4",0,0
2114,30-03-2017 01:00,"15,6","82,4",0,0
2115,30-03-2017 02:00,"15,3","84,6",0,0
2116,30-03-2017 03:00,"16,1","83,8",0,0
2117,30-03-2017 04:00,"16,5","81,1",0,0
2118,30-03-2017 05:00,"16,2","81,5",0,0
2119,30-03-2017 06:00,"15,3","83,4",0,"0,1"
2120,30-03-2017 07:00,"15,3","84,3","0,4","39,9"
2121,30-03-2017 08:00,"19,4","65,7","0,7","185,9"
2122,30-03-2017 09:00,"22,9","52,1","1,4","371,1"
2123,30-03-2017 10:00,"24,6","48,2","2,5",438
2124,30-03-2017 11:00,"26,1",44,"4,7","715,8"
2125,30-03-2017 12:00,27,"43,2","6,5","726,9"
2126,30-03-2017 13:00,"26,8","43,4","7,6","764,1"
2127,30-03-2017 14:00,27,"42,7","6,8","726,6"
2128,30-03-2017 15:00,"27,3","42,6","6,8","603,5"
2129,30-03-2017 16:00,"26,5","45,1","7,2","440,3"
2130,30-03-2017 17:00,"24,5","51,3","7,6","211,5"
2131,30-03-2017 18:00,"22,5","57,1","5,4","62,6"
2132,30-03-2017 19:00,"20,5","62,8","1,8","0,2"
2133,30-03-2017 20:00,"19,9","64,6","0,7",0
2134,30-03-2017 21:00,"19,2","66,6","1,8",0
2135,30-03-2017 22:00,"18,7","67,2","1,4",0
2136,30-03-2017 23:00,"18,7","67,4",0,0
2137,31-03-2017 00:00,"18,7","68,8",0,0
2138,31-03-2017 01:00,"18,8","68,3",0,0
2139,31-03-2017 02:00,"18,8","68,8",0,0
2140,31-03-2017 03:00,"17,6","72,8",0,0
2141,31-03-2017 04:00,"15,7","79,2",0,0
2142,31-03-2017 05:00,15,"82,2",0,0
2143,31-03-2017 06:00,"15,9","79,4",0,0
2144,31-03-2017 07:00,"17,1","74,5",0,"40,1"
2145,31-03-2017 08:00,20,63,0,"159,5"
2146,31-03-2017 09:00,23,"54,4","1,1",290
2147,31-03-2017 10:00,"24,4","49,9","2,2",383
2148,31-03-2017 11:00,"26,1",46,5,"641,3"
2149,31-03-2017 12:00,"27,3","42,1","6,8","808,5"
2150,31-03-2017 13:00,28,"40,1","6,8",798
2151,31-03-2017 14:00,"27,7","40,8","7,9","744,9"
2152,31-03-2017 15:00,"27,5","40,7","7,2","631,9"
2153,31-03-2017 16:00,"26,4",44,"6,8","374,7"
2154,31-03-2017 17:00,"23,9","49,9","6,1","166,2"
2155,31-03-2017 18:00,"23,1",52,"6,1","76,2"
2156,31-03-2017 19:00,21,"58,2","1,8","0,4"
2157,31-03-2017 20:00,20,"61,5","2,2",0
2158,31-03-2017 21:00,"18,7","66,3",0,0
2159,31-03-2017 22:00,"17,3","72,1",0,0
2160,31-03-2017 23:00,"16,7","76,9",0,0
2161,01-04-2017 00:00,16,"78,8",0,0
2162,01-04-2017 01:00,"15,1","80,5",0,0
2163,01-04-2017 02:00,"14,8",82,0,0
2164,01-04-2017 03:00,"14,5","82,3",0,0
2165,01-04-2017 04:00,"14,1",83,0,0
2166,01-04-2017 05:00,"13,8","84,2",0,0
2167,01-04-2017 06:00,"13,7","84,4",0,0
2168,01-04-2017 07:00,14,"84,3",0,"37,2"
2169,01-04-2017 08:00,"18,6",65,"0,4","210,5"
2170,01-04-2017 09:00,"22,8","52,1","1,4","419,6"
